Name,Genre,Platform,Release_Season,NA_Sales_Millions,EU_Sales_Millions,Global_Sales_Millions,Developer,Original_Index,User_Score,Rating,Publisher,Steam_App_ID,Price,Year_of_Release
Rocket League,Sports,PC,Summer,0.01,0.04,0.06,Psyonix,12835,8.2,E,505 Games,-1.0,$4.99,2016.0
Steins;Gate: Hiyoku Renri no Darling,Action,PSP,Summer,0.0,0.0,0.06,,12653,,,5pb,-1.0,,2012.0
Broken Sword II: The Smoking Mirror,Adventure,PS,Fall,0.03,0.02,0.06,Revolution Software Ltd,12773,,,Sony Computer Entertainment,-1.0,,1997.0
V-Rally 3,Racing,PS2,Summer,0.03,0.02,0.06,Eden Studios,12843,7.4,E,Atari,-1.0,,2002.0
Samurai Shodown Anthology,Fighting,Wii,Summer,0.05,0.0,0.06,SNK Playmore,12742,8.2,T,Ignition Entertainment,-1.0,,2008.0
Rooms: The Main Building,Adventure,Wii,Summer,0.05,0.0,0.06,Hudson Entertainment,12694,tbd,E,Hudson Soft,-1.0,$9.99,2010.0
Viewtiful Joe: Red Hot Rumble,Action,GC,Fall,0.04,0.01,0.06,Clover Studio,12761,6.9,T,Capcom,-1.0,,2005.0
Myst,Adventure,SAT,Fall,0.0,0.0,0.06,Cyan Worlds Inc,12793,,,Sunsoft,-1.0,$29.99,1994.0
Friends: The One with All the Trivia,Misc,PS2,Fall,0.03,0.02,0.06,Artech Studios,12826,tbd,T,Warner Bros. Interactive Entertainment,-1.0,,2005.0
World Series of Poker 2008: Battle for the Bracelets,Misc,DS,Fall,0.05,0.0,0.06,Farmind Ltd,12548,tbd,T,Activision,-1.0,,2007.0
Tom Clancy's Splinter Cell: Double Agent,Action,GC,Fall,0.04,0.01,0.06,Ubisoft Montreal,12737,7.1,M,Ubisoft,-1.0,$2.20,2006.0
Need for Speed: Shift,Racing,PC,Fall,0.0,0.05,0.06,Slightly Mad Studios,12682,5.8,E,Electronic Arts,-1.0,,2009.0
FIFA Soccer 07,Sports,DS,Fall,0.05,0.01,0.06,,12657,,,Electronic Arts,-1.0,,2006.0
Lego Batman 3: Beyond Gotham,Action,PC,Fall,0.0,0.06,0.06,TT Games,12441,6.8,E10+,Warner Bros. Interactive Entertainment,-1.0,$3.90,2014.0
Mobile Suit Gundam 00: Gundam Meisters,Action,PS2,Fall,0.0,0.0,0.06,"TOM CREATE, 株式会社トムクリエイト",12496,,,Namco Bandai Games,-1.0,,2008.0
The King of Fighters '96,Fighting,NG,Summer,0.0,0.0,0.06,SNK CORPORATION,12824,,,SNK,-1.0,,1996.0
Call of Duty 2,Shooter,PC,Fall,0.0,0.05,0.06,Infinity Ward,12530,8.4,T,Activision,-1.0,$17.99,2005.0
Pro Evolution Soccer 2012,Action,PS2,Fall,0.0,0.0,0.06,Konami,12526,8.2,E,Konami Digital Entertainment,-1.0,,2011.0
IL-2 Sturmovik: Birds of Prey,Simulation,DS,Fall,0.06,0.0,0.06,DiP Interactive,12295,2.4,E10+,505 Games,-1.0,,2009.0
KimiKiss,Adventure,PS2,Spring,0.0,0.0,0.06,,12485,,,Enterbrain,-1.0,,2006.0
ESPN International Winter Sports 2002,Sports,PS2,Winter,0.03,0.02,0.06,Konami,12807,tbd,E,Konami Digital Entertainment,-1.0,,2002.0
Ford Racing 3,Racing,GBA,Fall,0.04,0.02,0.06,Visual Impact,12603,tbd,E,Zoo Digital Publishing,-1.0,,2005.0
Utawarerumono: Itsuwari no Kamen,Adventure,PS4,Fall,0.0,0.0,0.06,AQUAPLUS,12648,,,Aqua Plus,-1.0,,2015.0
Combat Elite: WWII Paratroopers,Shooter,PS2,Fall,0.03,0.02,0.06,BattleBorne,12585,tbd,T,Unknown,-1.0,,
Oddworld: Munch's Oddysee,Platform,GBA,Fall,0.04,0.02,0.06,Art,12609,2.5,E,THQ,-1.0,$1.24,2003.0
Broken Sword: The Shadow of the Templars,Adventure,GBA,Fall,0.04,0.02,0.06,Revolution Software,12621,7.8,T,BAM! Entertainment,-1.0,,2002.0
Cabela's Trophy Bucks,Sports,Wii,Fall,0.06,0.0,0.06,FUN Labs,12308,6,T,Activision Value,-1.0,,2008.0
Chaos;Child,Adventure,PSV,Winter,0.0,0.0,0.05,MAGES. Inc.,12891,,,5pb,-1.0,$12.49,2015.0
PopStar Guitar,Misc,Wii,Winter,0.03,0.02,0.05,Broadsword Interactive,12950,tbd,T,Midway Games,-1.0,,2008.0
Stunt GP,Racing,PS2,Spring,0.02,0.02,0.05,Team 17,13253,8.1,E,Titus,-1.0,,2001.0
WTA Tour Tennis,Sports,PS2,Fall,0.03,0.02,0.05,Konami,12914,tbd,E,Konami Digital Entertainment,-1.0,,2001.0
GrimGrimoire,Strategy,PS2,Spring,0.01,0.01,0.05,Vanilla Ware,13276,7.9,E10+,Tecmo Koei,-1.0,,2007.0
Gothic 3,Puzzle,Wii,Fall,0.05,0.0,0.05,Piranha Bytes,12860,,,SouthPeak Games,39500.0,$4.99,2009.0
FIFA Soccer 2003,Sports,GBA,Fall,0.04,0.01,0.05,Exient Entertainment,12918,tbd,E,Electronic Arts,-1.0,,2002.0
BlowOut,Shooter,XB,Fall,0.04,0.01,0.05,Terminal Reality,12908,tbd,T,Zoo Digital Publishing,-1.0,$3.49,2003.0
DoDonPachi Resurrection,Shooter,X360,Spring,0.0,0.04,0.05,Cave,13069,8.6,,Rising Star Games,-1.0,$26.88,2010.0
Phantasy Star Online Episode I & II Plus,Role-Playing,GC,Winter,0.04,0.01,0.05,InterAction studios,12884,,,Sega,-1.0,,2003.0
Capcom vs. SNK: Millennium Fight 2000 Pro,Fighting,DC,Summer,0.0,0.0,0.05,"CAPCOM Co., Ltd.",13283,,,Capcom,-1.0,,2001.0
Atelier Rorona: Alchemist of Arland,Role-Playing,PSV,Summer,0.0,0.0,0.05,"KOEI TECMO GAMES CO., LTD.",13174,,,Nippon Ichi Software,-1.0,$39.99,2013.0
The Bureau: XCOM Declassified,Shooter,PC,Summer,0.0,0.05,0.05,2K Marin,13093,6.5,M,Take-Two Interactive,-1.0,$3.99,2013.0
Payday 2,Shooter,PC,Summer,0.04,0.0,0.05,Overkill Software,13222,3.4,M,505 Games,-1.0,$2.18,2013.0
Bladestorm: Nightmare,Action,XOne,Summer,0.03,0.02,0.05,Omega Force,13055,7.1,T,Tecmo Koei,-1.0,$59.99,2015.0
To Heart 2: Dungeon Travelers,Adventure,PSV,Summer,0.0,0.0,0.05,Ludeon Studios,13054,,,Aqua Plus,-1.0,,2015.0
Ferrari F355 Challenge,Racing,PS2,Summer,0.03,0.02,0.05,Sega AM2,13043,4.4,E,Sony Computer Entertainment,-1.0,,2002.0
DuckTales: Remastered,Action,PS3,Summer,0.01,0.03,0.05,WayForward,13330,7.4,E,Capcom,-1.0,$3.15,2013.0
Venetica,Role-Playing,PC,Fall,0.0,0.04,0.05,Deck 13,13062,6.8,T,DTP Entertainment,-1.0,$9.99,2009.0
Ultra Bust-A-Move,Puzzle,XB,Summer,0.04,0.01,0.05,Taito Corporation,13036,tbd,E,505 Games,-1.0,,2004.0
Dynamite Headdy,Platform,GEN,Summer,0.0,0.0,0.05,,12985,,,Sega,-1.0,,1993.0
V-Rally 3,Racing,GBA,Summer,0.03,0.01,0.05,Velez & Dubail,13341,tbd,E,Atari,-1.0,,2002.0
Atelier Escha & Logy: Alchemists of the Dusk Sky,Role-Playing,PSV,Summer,0.0,0.0,0.05,"KOEI TECMO GAMES CO., LTD.",13487,,,Tecmo Koei,-1.0,$39.99,2015.0
Atelier Ayesha: The Alchemist of Dusk,Role-Playing,PSV,Summer,0.0,0.0,0.05,"KOEI TECMO GAMES CO., LTD.",13435,,,Tecmo Koei,-1.0,$39.99,2014.0
Company of Heroes,Adventure,PSP,Fall,0.0,0.0,0.05,Relic Entertainment,13432,,,Comfort,228200.0,$19.99,2011.0
Medal of Honor: Airborne,Shooter,PC,Summer,0.0,0.04,0.05,Electronic Arts,12978,7.3,T,Electronic Arts,-1.0,$9.99,2007.0
Cabela's Trophy Bucks,Sports,X360,Fall,0.04,0.0,0.05,FUN Labs,13413,3,T,Activision Value,-1.0,,2007.0
Need for Speed Underground,Racing,PC,Fall,0.0,0.04,0.05,Black Box,13348,8.3,E,Electronic Arts,-1.0,,2003.0
Hero Bank 2,Role-Playing,3DS,Spring,0.0,0.0,0.05,"Iron Lore Entertainment, THQ Nordic",13416,,,Sega,-1.0,,2014.0
Marriage Royale: Prism Story,Adventure,PSP,Spring,0.0,0.0,0.05,FELISTELLA Inc.,13135,,,ASCII Media Works,-1.0,,2010.0
Jenga World Tour,Misc,Wii,Fall,0.05,0.0,0.05,Atomic Planet Entertainment,13118,2.8,E,Atari,-1.0,,2007.0
Need for Speed Carbon,Racing,PC,Fall,0.0,0.04,0.05,Black Box,13306,7.2,E10+,Electronic Arts,-1.0,,2006.0
