Name,Genre,Platform,Release_Season,NA_Sales_Millions,EU_Sales_Millions,Global_Sales_Millions,Developer,Original_Index,User_Score,Rating,Publisher,Steam_App_ID,Price,Year_of_Release
Empire: Total War,Strategy,PC,Spring,0.01,0.97,1.08,Creative Assembly,1897,6.9,T,Sega,-1.0,$6.48,2009.0
Naruto: Ultimate Ninja Storm,Fighting,PS3,Fall,0.49,0.34,1.07,CyberConnect2,1932,8.6,T,Namco Bandai Games,-1.0,$8.37,2008.0
The Simpsons Game,Action,PSP,Fall,0.24,0.54,1.07,"Electronic Arts, Rebellion",1912,6.7,T,Electronic Arts,-1.0,,2007.0
Spore Creatures,Simulation,DS,Fall,0.66,0.3,1.06,Griptonite Games,1940,6.5,E,Electronic Arts,-1.0,,2008.0
Seek and Destroy,Racing,PS2,Summer,0.52,0.4,1.06,Barnhouse Effect,1956,8.8,T,Play It,-1.0,,2002.0
The Orange Box,Shooter,PS3,Fall,0.28,0.58,1.06,EA Games,1941,8.4,M,Electronic Arts,-1.0,,2007.0
Bully: Scholarship Edition,Sports,PS2,Fall,0.52,0.41,1.06,EA Canada,1945,8.7,E,Electronic Arts,12200.0,$5.24,2005.0
Bully: Scholarship Edition,Action,X360,Fall,0.53,0.4,1.06,"Mad Doc Software, Rockstar Vancouver",1944,8.3,T,Take-Two Interactive,-1.0,$5.24,2008.0
Grand Theft Auto: Chinatown Wars,Action,PSP,Spring,0.28,0.49,1.06,Rockstar Leeds,1939,7.3,M,Take-Two Interactive,-1.0,,2009.0
Darksiders,Shooter,X360,Fall,0.65,0.3,1.06,Pandemic Studios,1958,7.2,T,Electronic Arts,50620.0,$6.99,2008.0
Freekstyle,Racing,PS2,Summer,0.52,0.41,1.06,Page 44 Studios,1938,7.3,E,Electronic Arts,-1.0,,2002.0
Call of Duty 4: Modern Warfare,Shooter,DS,Fall,0.95,0.01,1.05,n-Space,1964,6.9,T,Activision,-1.0,$19.99,2007.0
Monster Rancher 2,Simulation,PS,Winter,0.19,0.13,1.05,Tecmo,1981,,E,Sony Computer Entertainment,-1.0,$29.99,1998.0
Cosmic Ark,Shooter,2600,Winter,0.99,0.05,1.05,Avantaj Prim,1965,,,Imagic,-1.0,,1981.0
Resident Evil: The Darkside Chronicles,Action,Wii,Fall,0.46,0.31,1.05,Cavia Inc.,1966,8,M,Capcom,-1.0,,2009.0
Mega Man X4,Action,PS,Summer,0.45,0.3,1.04,"CAPCOM CO., LTD",1989,,,Virgin Interactive,-1.0,,1996.0
Sleeping Dogs,Racing,PS,,0.58,0.39,1.04,Climax Group,1988,tbd,E,Acclaim Entertainment,202170.0,$3.99,2000.0
Sonic & Sega All-Stars Racing,Racing,DS,Winter,0.43,0.5,1.04,Sonic Team,1997,,,Sega,-1.0,$10.49,2010.0
The Simpsons Game,Action,X360,Fall,0.54,0.39,1.03,"Electronic Arts, EA Redwood Shores",1999,7.7,T,Electronic Arts,-1.0,,2007.0
Brink,Racing,PS2,Spring,0.86,0.03,1.03,Rainbow Studios,2002,8.4,E,THQ,22350.0,$14.99,2005.0
Madden NFL 07,Sports,XB,Summer,0.97,0.03,1.02,EA Tiburon,2035,8.7,E,Electronic Arts,-1.0,,2006.0
Sonic Generations,Platform,3DS,Fall,0.44,0.47,1.02,"Sega, Dimps Corporation",2036,6.9,E,Sega,-1.0,$32.07,2011.0
Sonic Unleashed,Platform,PS3,Fall,0.56,0.32,1.02,Sonic Team,2026,7.9,E10+,Sega,-1.0,,2008.0
Bulletstorm,Shooter,X360,Winter,0.61,0.32,1.02,"Epic Games, People Can Fly",2033,7.6,M,Electronic Arts,-1.0,$29.99,2011.0
Petz: Catz 2,Simulation,DS,Winter,0.51,0.4,1.02,Powerhead Games,2032,9,E,Ubisoft,-1.0,,2007.0
The Simpsons Game,Action,Wii,Fall,0.45,0.46,1.01,"Electronic Arts, Rebellion",2045,6.1,T,Electronic Arts,-1.0,,2007.0
Assassin's Creed: Rogue,Action,X360,Fall,0.58,0.34,1.01,Ubisoft,2050,7.3,M,Ubisoft,-1.0,$6.00,2014.0
Rayman Origins,Platform,PS3,Fall,0.33,0.49,1.0,UBlart Montpellier,2074,8.4,E10+,Ubisoft,-1.0,$5.28,2011.0
SoulCalibur II,Fighting,XB,Summer,0.78,0.18,1.0,Namco,2067,8.9,T,Namco Bandai Games,-1.0,,2003.0
Oddworld: Abe's Exoddus,Platform,PS,Fall,0.55,0.38,0.99,Oddworld Inhabitants,2083,9.1,T,GT Interactive,-1.0,$2.29,1998.0
Air-Sea Battle,Shooter,2600,Winter,0.91,0.06,0.98,Gaijin Entertainment,2106,,,Atari,-1.0,,
Romancing SaGa,Role-Playing,SNES,Winter,0.0,0.0,0.97,"Square Enix, xeen Inc.",2129,,,SquareSoft,-1.0,$7.48,1992.0
Mass Effect 3,Role-Playing,PC,Spring,0.4,0.44,0.97,BioWare,2126,5.5,M,Electronic Arts,-1.0,$7.49,2012.0
LEGO Harry Potter: Years 5-7,Action,X360,Fall,0.51,0.37,0.97,Traveller's Tales,2132,7.9,E10+,Warner Bros. Interactive Entertainment,-1.0,$3.12,
FIFA Soccer 2005,Sports,XB,Fall,0.33,0.6,0.97,EA Canada,2125,8.7,E,Electronic Arts,-1.0,,2004.0
Brutal Legend,Action,PS3,Winter,0.49,0.32,0.97,Avalanche Software,2119,5.9,E10+,Disney Interactive Studios,225260.0,$2.99,2013.0
Grand Theft Auto: San Andreas,Action,PC,Fall,0.0,0.93,0.97,Rockstar North,2115,8.9,M,Take-Two Interactive,-1.0,$23.99,2005.0
Madden NFL 16,Sports,X360,Summer,0.85,0.02,0.97,EA Sports,2114,5.1,E,Electronic Arts,-1.0,,2015.0
Dragon Quest X,Role-Playing,Wii,Summer,0.0,0.0,0.96,Square Enix,2139,,,Square Enix,-1.0,$27.49,2012.0
Far Cry 3,Shooter,PC,Fall,0.22,0.62,0.96,Ubisoft Montreal,2136,8.2,M,Ubisoft,-1.0,$4.40,2012.0
The Witcher 2: Assassins of Kings,Action,PC,Spring,0.25,0.56,0.96,CD Projekt Red Studio,2151,8.5,M,Namco Bandai Games,-1.0,$2.99,2011.0
Sonic & Sega All-Stars Racing,Racing,PS3,Winter,0.36,0.43,0.95,Sonic Team,2178,,,Sega,-1.0,$10.49,2010.0
Sonic Unleashed,Platform,X360,Fall,0.54,0.32,0.95,Sonic Team,2161,7.8,E10+,Sega,-1.0,,2008.0
Tom Clancy's Splinter Cell: Chaos Theory,Action,PS2,Spring,0.36,0.45,0.95,Ubisoft Montreal,2160,8.6,M,Ubisoft,-1.0,$2.20,2005.0
Sniper Elite V2,Sports,XB,,0.88,0.04,0.95,Visual Concepts,2153,8.7,E,Global Star,63380.0,$4.99,2004.0
Rise of the Tomb Raider,Adventure,PS4,Fall,0.23,0.53,0.94,,2204,,,Square Enix,-1.0,$29.99,2016.0
The Sims 2,Simulation,DS,Fall,0.81,0.05,0.93,Griptonite Games,2211,6.1,E10+,Electronic Arts,-1.0,$29.99,2005.0
Kingdom Hearts Re:coded,Role-Playing,DS,Fall,0.53,0.09,0.93,"Square Enix, h.a.n.d. Inc.",2229,7,E10+,Square Enix,-1.0,,2010.0
Mega Man 4,Platform,NES,Winter,0.51,0.09,0.93,"CAPCOM CO., LTD.",2222,,,Capcom,-1.0,$8.42,1991.0
Lego Batman 3: Beyond Gotham,Action,PS4,Fall,0.37,0.4,0.93,TT Games,2232,7.1,E10+,Warner Bros. Interactive Entertainment,-1.0,$3.90,2014.0
Assassin's Creed III,Action,PC,Fall,0.28,0.53,0.93,Ubisoft,2237,6.2,M,Ubisoft,-1.0,$7.04,2012.0
NHL 2003,Sports,PS2,Fall,0.46,0.36,0.93,EA Sports,2208,6.8,E,Electronic Arts,-1.0,,2002.0
Tony Hawk's Pro Skater 4,Sports,XB,Fall,0.59,0.3,0.93,Neversoft Entertainment,2213,8.5,T,Activision,-1.0,$49.99,2002.0
Borderlands 2,Shooter,PC,Fall,0.42,0.41,0.93,Gearbox Software,2238,8.2,M,Take-Two Interactive,-1.0,$2.98,2012.0
Naruto Shippuden: Ultimate Ninja Storm 3,Fighting,PS3,Spring,0.32,0.32,0.93,CyberConnect2,2209,7.9,T,Namco Bandai Games,-1.0,$10.00,2013.0
South Park: The Stick of Truth,Role-Playing,X360,Spring,0.58,0.26,0.92,Obsidian Entertainment,2249,8.4,M,Ubisoft,213670.0,$6.60,2014.0
Sonic Riders,Racing,GC,Winter,0.71,0.18,0.92,Sonic Team,2259,8,E,Sega,-1.0,,2006.0
NCAA Football 11,Sports,X360,Summer,0.86,0.0,0.92,EA Tiburon,2242,7.1,E,Electronic Arts,-1.0,,2010.0
South Park: The Stick of Truth,Role-Playing,PS3,Spring,0.43,0.34,0.92,Obsidian Entertainment,2248,8.5,M,Ubisoft,-1.0,$6.60,2014.0
Dynasty Warriors 7,Action,PS3,Spring,0.25,0.13,0.91,Omega Force,2279,7.4,T,Tecmo Koei,-1.0,$19.99,2011.0
Injustice: Gods Among Us,Fighting,PS4,Spring,0.46,0.3,0.91,,2271,,,Warner Bros. Interactive Entertainment,-1.0,$3.12,2013.0
LEGO Harry Potter: Years 5-7,Action,PS3,Fall,0.36,0.41,0.91,Traveller's Tales,2273,8.3,E10+,Warner Bros. Interactive Entertainment,-1.0,$3.12,
Sonic Heroes,Platform,XB,Winter,0.41,0.43,0.9,Sonic Team,2308,7.6,E,Sega,-1.0,,2003.0
Far Cry 4,Shooter,X360,Fall,0.45,0.37,0.9,Ubisoft Montreal,2297,7,M,Ubisoft,-1.0,$5.28,2014.0
Marvel: Ultimate Alliance 2,Role-Playing,X360,Fall,0.68,0.15,0.9,Vicarious Visions,2294,7.3,T,Activision,-1.0,,2009.0
Just Cause 3,Action,XOne,Winter,0.44,0.39,0.9,Avalanche Studios,2291,7,M,Square Enix,310950.0,$2.99,2015.0
NCAA Football 13,Action,PS3,Summer,0.82,0.0,0.89,EA Tiburon,2352,4.1,E,Electronic Arts,-1.0,,2012.0
Lego Batman 3: Beyond Gotham,Action,X360,Fall,0.48,0.33,0.89,TT Games,2335,6.8,E10+,Warner Bros. Interactive Entertainment,-1.0,$3.90,2014.0
CSI: Hard Evidence,Adventure,Wii,Fall,0.36,0.43,0.89,,2343,,,Ubisoft,-1.0,,2008.0
Samba De Amigo,Misc,Wii,Winter,0.41,0.37,0.88,Gearbox Software,2353,8.1,E,Sega,-1.0,,2008.0
Star Wars: The Force Unleashed,Action,DS,Fall,0.5,0.28,0.88,n-Space,2370,5.5,T,LucasArts,-1.0,$16.57,2008.0
Resident Evil: Revelations,Action,3DS,Winter,0.3,0.22,0.88,Capcom,2368,8.5,M,Capcom,-1.0,$3.91,2012.0
The Simpsons Game,Action,PS3,Fall,0.38,0.36,0.88,EA Redwood Shores,2355,7.5,T,Electronic Arts,-1.0,,2007.0
Need for Speed: V-Rally,Racing,PS,Summer,0.43,0.29,0.87,Criterion Games,2386,,,Infogrames,-1.0,,1997.0
Kingdoms of Amalur: Reckoning,Strategy,PSP,,0.32,0.26,0.87,,2385,,,Konami Digital Entertainment,102500.0,$8.24,2004.0
Michael Jackson: The Experience,Misc,X360,Fall,0.62,0.18,0.87,Ubisoft Montreal,2391,6.8,E10+,Ubisoft,-1.0,,2011.0
Conflict: Desert Storm,Shooter,XB,Fall,0.48,0.37,0.87,SCi,2401,8.1,T,SCi,-1.0,$0.97,2002.0
Madden NFL 08,Sports,Wii,Summer,0.8,0.0,0.87,EA Tiburon,2377,6.8,E,Electronic Arts,-1.0,,2007.0
Dragon Quest VIII: Journey of the Cursed King,Role-Playing,3DS,Fall,0.0,0.0,0.86,Cygames,2414,,T,Square Enix,-1.0,,2015.0
Ghostbusters: The Video Game,Action,Wii,Summer,0.59,0.2,0.86,Red Fly Studio,2413,8.5,E10+,Atari,-1.0,$2.49,2009.0
The Legendary Starfy,Platform,DS,Fall,0.6,0.0,0.85,TOSE,2447,8.4,E,Nintendo,-1.0,,2008.0
Street Fighter Alpha 2,Fighting,PS,Spring,0.14,0.09,0.85,"CAPCOM Co., Ltd.",2432,,,Virgin Interactive,-1.0,$5.99,1996.0
Tomb Raider: Anniversary,Action,Wii,Summer,0.12,0.62,0.85,Crystal Dynamics,2430,7.3,T,Eidos Interactive,-1.0,$0.98,2007.0
NCAA Football 11,Sports,PS3,Summer,0.79,0.0,0.85,EA Tiburon,2448,7.4,E,Electronic Arts,-1.0,,2010.0
Darksiders II,Action,PS3,Summer,0.35,0.35,0.84,Vigil Games,2451,7.1,M,THQ,-1.0,$6.99,2012.0
Ghostbusters: The Video Game,Action,PS3,Summer,0.34,0.36,0.84,Terminal Reality,2455,7.9,T,Sony Computer Entertainment,-1.0,$2.49,2009.0
ESPN College Hoops 2K5,Sports,PS2,Fall,0.41,0.32,0.84,Visual Concepts,2467,8.1,E,Sega,-1.0,,2004.0
NCAA Football 14,Sports,PS3,Summer,0.75,0.0,0.84,EA Tiburon,2468,6.2,E,Electronic Arts,-1.0,,2013.0
Big Mutha Truckers,Racing,PS2,Winter,0.41,0.32,0.84,Eutechnyx,2464,5.3,T,Empire Interactive,-1.0,$7.34,2002.0
Q*bert,Puzzle,PS,Fall,0.46,0.32,0.84,NanningsGames,2474,,,Atari,-1.0,,1999.0
Madden NFL 07,Sports,PSP,Summer,0.77,0.03,0.83,EA Tiburon,2479,6.6,E,Unknown,-1.0,,
Tony Hawk's Pro Skater 3,Sports,GC,Fall,0.64,0.17,0.82,Neversoft Entertainment,2504,9,T,Activision,-1.0,$49.99,2001.0
Shin Megami Tensei: Persona 4,Role-Playing,PS2,Summer,0.34,0.04,0.82,Atlus Co.,2519,8.9,M,Atlus,-1.0,,2008.0
Marvel: Ultimate Alliance,Role-Playing,PS2,Fall,0.69,0.03,0.82,Raven Software,2505,8.2,T,Activision,-1.0,,2006.0
Dragon Warrior III,Role-Playing,GB,Winter,0.0,0.0,0.81,"Spike Chunsoft Co., Ltd.",2523,,,Enix Corporation,-1.0,,2000.0
Final Fantasy XI: Wings of the Goddess,Role-Playing,PS2,Spring,0.35,0.27,0.81,Square Enix,2550,tbd,T,Square Enix,-1.0,,2007.0
The Sims 2,Simulation,PS2,Fall,0.67,0.03,0.81,Maxis,2551,4.4,T,Electronic Arts,-1.0,$29.99,2005.0
Pro Evolution Soccer 2010,Sports,X360,Fall,0.12,0.58,0.81,Konami,2541,7.6,E,Konami Digital Entertainment,-1.0,,2009.0
Pro Evolution Soccer 2010,Sports,PSP,Fall,0.09,0.33,0.8,Konami,2567,4.6,E,Konami Digital Entertainment,-1.0,,2009.0
DmC: Devil May Cry,Racing,PS,Winter,0.44,0.3,0.79,Deibus Studios,2588,5.3,E,Take-Two Interactive,220440.0,$6.38,2001.0
Dragon's Dogma,Role-Playing,X360,Spring,0.42,0.23,0.79,Capcom,2599,7.8,M,Capcom,-1.0,$36.29,2012.0
Harvest Moon: A Wonderful Life,Role-Playing,GC,Fall,0.61,0.16,0.79,Marvelous,2584,8.9,E,Ubisoft,-1.0,,2003.0
Darksiders II,Action,X360,Summer,0.45,0.27,0.79,Vigil Games,2590,8,M,THQ,-1.0,$6.99,2012.0
Need for Speed Rivals,Racing,X360,Fall,0.37,0.35,0.79,Ghost Games,2591,5.4,E10+,Electronic Arts,-1.0,$1.49,2013.0
Rare Replay,Misc,XOne,Summer,0.49,0.22,0.79,Rare Ltd.,2603,7.7,M,Microsoft Game Studios,-1.0,,2015.0
All Star Cheer Squad,Sports,Wii,Fall,0.43,0.29,0.79,Gorilla Games,2585,5.2,E,THQ,-1.0,,2008.0
The Sims 2: Castaway,Simulation,PSP,Fall,0.08,0.46,0.79,Maxis,2607,7.3,E10+,Electronic Arts,-1.0,,2007.0
Mega Man 5,Platform,NES,Winter,0.39,0.07,0.79,"CAPCOM CO., LTD.",2593,,,Capcom,-1.0,$8.42,1992.0
DmC: Devil May Cry,Action,PS3,Winter,0.24,0.26,0.79,Ninja Theory,2587,5.3,M,Capcom,-1.0,$6.38,2013.0
Tom Clancy's Splinter Cell: Double Agent,Action,X360,Fall,0.67,0.04,0.78,Ubisoft Shanghai,2619,8.1,M,Ubisoft,379720.0,$2.20,2006.0
Marvel vs. Capcom: Clash of Super Heroes,Fighting,PS,Winter,0.43,0.3,0.78,"CAPCOM Co., Ltd.",2624,,,Capcom,-1.0,,1999.0
The World Ends With You,Role-Playing,DS,Summer,0.49,0.04,0.78,Jupiter Corporation,2629,8.9,T,Square Enix,-1.0,$23.99,2007.0
Madden NFL 16,Sports,PS3,Summer,0.57,0.06,0.78,EA Sports,2626,3.1,E,Electronic Arts,-1.0,,2015.0
Yars' Revenge,Shooter,2600,Spring,0.73,0.04,0.78,Digital Eclipse,2615,,,Atari,-1.0,$1.99,1982.0
Naruto Shippuden: Ultimate Ninja Storm 2,Fighting,X360,Fall,0.43,0.27,0.78,CyberConnect2,2621,8.5,T,Namco Bandai Games,-1.0,$8.37,2010.0
Rayman Origins,Platform,X360,Fall,0.38,0.32,0.78,UBlart Montpellier,2639,8.2,E10+,Ubisoft,-1.0,$5.28,2011.0
The 7th Guest,Adventure,PC,Spring,0.02,0.77,0.78,Trilobyte,2612,,T,Virgin Interactive,-1.0,$5.99,1992.0
Aliens: Colonial Marines,Shooter,X360,Winter,0.36,0.34,0.77,Gearbox Software,2641,3.8,M,Sega,-1.0,$6.72,2013.0
Need for Speed: ProStreet,Racing,PSP,Fall,0.24,0.33,0.77,EA Games,2647,7.1,E,Electronic Arts,-1.0,,2008.0
Donkey Kong Country 3,Platform,GBA,Fall,0.45,0.17,0.77,Rare Ltd.,2665,8.4,E,Nintendo,-1.0,,2005.0
Marvel Nemesis: Rise of the Imperfects,Fighting,PS2,Fall,0.64,0.02,0.77,"EA Canada, Nihilistic",2649,6.3,T,Electronic Arts,-1.0,,2005.0
Portal 2,Shooter,PC,Spring,0.33,0.32,0.76,Valve Software,2703,8.8,E10+,Valve Software,-1.0,$9.99,2011.0
Sonic Unleashed,Platform,PS2,Fall,0.37,0.04,0.76,Sonic Team,2672,6.7,E10+,Sega,-1.0,,2008.0
Street Fighter Alpha: Warriors' Dreams,Fighting,PS,Summer,0.17,0.11,0.76,"CAPCOM Co., Ltd.",2683,,,Virgin Interactive,-1.0,,1995.0
The Sims 3,Simulation,3DS,Summer,0.3,0.37,0.76,EA Games,2697,3.3,T,Electronic Arts,-1.0,$19.99,2011.0
Marvel vs. Capcom 2: New Age of Heroes,Fighting,PS2,Spring,0.31,0.24,0.76,"CAPCOM Co., Ltd.",2702,,,Capcom,-1.0,,2002.0
Driv3r,Racing,XB,Summer,0.36,0.38,0.76,Reflections Interactive,2679,4.7,M,Atari,-1.0,,2004.0
Cabela's Deer Hunt: 2004 Season,Sports,PS2,Summer,0.37,0.29,0.76,Sand Grain Studios,2673,9,T,Activision Value,-1.0,,2003.0
Tony Hawk's Pro Skater 2,Sports,N64,Fall,0.59,0.16,0.76,"Vicarious Visions, Iron Galaxy Studios",2690,,,Activision,-1.0,$39.99,2001.0
True Crime: New York City,Action,PS2,Fall,0.57,0.02,0.76,"Insomniac Games, Nixxes Software",2707,,,Activision,-1.0,,2005.0
Sonic & SEGA All-Stars Racing with Banjo-Kazooie,Racing,X360,Winter,0.37,0.32,0.76,Sonic Team,2689,,,Sega,-1.0,$10.49,2010.0
Metal Gear Solid V: The Phantom Pain,Action,XOne,Fall,0.41,0.26,0.75,"Kojima Productions, Moby Dick Studio",2720,7.3,M,Konami Digital Entertainment,-1.0,$15.32,2015.0
LEGO Batman 2: DC Super Heroes,Action,3DS,Summer,0.41,0.28,0.75,TT Games,2726,5.2,E10+,Warner Bros. Interactive Entertainment,-1.0,$3.12,2012.0
Madden NFL 06,Sports,PSP,Summer,0.69,0.0,0.75,EA Tiburon,2736,7.9,E,Electronic Arts,-1.0,,2005.0
San Francisco Rush: Extreme Racing,Racing,N64,Winter,0.63,0.11,0.75,,2729,,,GT Interactive,-1.0,,1997.0
Capcom vs. SNK 2: Mark of the Millennium 2001,Fighting,PS2,Summer,0.22,0.17,0.75,Capcom,2739,7.9,T,Capcom,-1.0,,2001.0
Titanfall 2,Shooter,PS4,Fall,0.34,0.25,0.75,Respawn Entertainment,2718,8.4,M,Electronic Arts,-1.0,$1.99,2016.0
Titanfall 2,Action,PS3,Fall,0.18,0.37,0.75,Game Republic,2719,5.8,T,Sony Computer Entertainment,1237970.0,$1.99,2006.0
Mega Man X5,Platform,PS,Fall,0.3,0.21,0.75,Capcom,2716,8.9,E,Capcom,-1.0,,2000.0
Tom Clancy's Rainbow Six: Vegas,Shooter,PSP,Fall,0.42,0.19,0.74,Ubisoft Montreal,2763,7.1,T,Ubisoft,-1.0,$2.20,2007.0
The Elder Scrolls V: Skyrim,Role-Playing,XOne,Fall,0.41,0.27,0.74,,2768,,,Bethesda Softworks,-1.0,$49.95,2016.0
Need for Speed: Shift,Racing,PSP,Fall,0.16,0.37,0.74,EA Bright Light,2755,6.5,E,Electronic Arts,-1.0,,2009.0
Final Fantasy X/X-2 HD Remaster,Role-Playing,PS4,Winter,0.29,0.27,0.74,,2759,,,Square Enix,-1.0,$11.99,2015.0
Resident Evil: Revelations,Action,PS3,Winter,0.14,0.29,0.74,Capcom,2762,7.2,M,Capcom,-1.0,$3.91,2013.0
Dark Souls II,Role-Playing,X360,Spring,0.48,0.18,0.74,From Software,2756,7.9,T,Namco Bandai Games,-1.0,$39.99,2014.0
Assassin's Creed: Revelations,Action,PC,Fall,0.14,0.48,0.74,Ubisoft Montreal,2758,7.4,M,Ubisoft,-1.0,$5.28,2011.0
Lego Batman 3: Beyond Gotham,Action,PS3,Fall,0.33,0.28,0.74,TT Games,2774,6.7,E10+,Warner Bros. Interactive Entertainment,-1.0,$3.90,2014.0
Resonance of Fate,Role-Playing,PS3,Winter,0.2,0.21,0.73,Tri-Ace,2785,8,T,Sega,-1.0,$34.99,2010.0
Naruto Shippuden: Ultimate Ninja Storm Generations,Fighting,PS3,Winter,0.27,0.24,0.73,"CyberConnect2, Racjin",2816,7.1,T,Namco Bandai Games,-1.0,,2012.0
Mortal Kombat 4,Fighting,N64,Fall,0.55,0.17,0.73,,2797,,,GT Interactive,-1.0,$1.49,1998.0
Marvel: Ultimate Alliance 2,Role-Playing,PS3,Fall,0.49,0.15,0.73,Vicarious Visions,2783,7.3,T,Activision,-1.0,,2009.0
FIFA: Road to World Cup 98,Sports,PS,Fall,0.14,0.09,0.73,Winning Streak Games,2788,,,Electronic Arts,-1.0,,1997.0
Oddworld: Munch's Oddysee,Platform,XB,Fall,0.54,0.16,0.73,Oddworld Inhabitants,2803,8.7,T,Atari,-1.0,1.24,2001.0
Final Fantasy XIII-2,Role-Playing,X360,Winter,0.36,0.29,0.73,Square Enix,2801,6.3,T,Square Enix,-1.0,$7.99,2011.0
Monopoly Streets,Misc,Wii,Winter,0.23,0.42,0.72,Electronic Arts,2822,5.2,E,Electronic Arts,-1.0,,2010.0
Disney Infinity 3.0,Action,PS4,Summer,0.24,0.37,0.72,"Avalanche Software, Heavy Iron Studios",2848,,,Disney Interactive Studios,261640.0,$24.87,2015.0
NBA Live 08,Sports,PS2,Fall,0.59,0.02,0.72,EA Canada,2830,6.6,E,Electronic Arts,-1.0,,2007.0
The Sims 2: Castaway,Simulation,DS,Fall,0.62,0.04,0.71,Full Fat,2870,4,E,Electronic Arts,-1.0,,2007.0
Crysis,Action,PS,Fall,0.23,0.15,0.71,Capcom,2869,7,M,Eidos Interactive,17300.0,$4.99,2000.0
LEGO Racers,Racing,N64,Summer,0.51,0.18,0.71,Visual Concepts,2882,,,LEGO Media,-1.0,,1999.0
Madden NFL 08,Sports,PSP,Summer,0.6,0.04,0.71,EA Tiburon,2880,6.8,E,Electronic Arts,-1.0,,2007.0
XCOM: Enemy Unknown,Action,PSP,Fall,0.23,0.3,0.71,High Voltage Software,2866,7.2,E10+,D3Publisher,200510.0,$24.99,2007.0
XCOM: Enemy Unknown,Strategy,PC,Fall,0.27,0.36,0.71,Firaxis Games,2865,8.2,M,Take-Two Interactive,-1.0,9.99,2012.0
TimeSplitters 2,Shooter,PS2,Fall,0.34,0.27,0.7,Free Radical Design,2928,8.8,T,Eidos Interactive,-1.0,,2002.0
Kill.Switch,Shooter,PS2,Fall,0.34,0.27,0.7,Namco,2906,8.3,T,Sony Computer Entertainment,-1.0,,2003.0
Mafia,Adventure,DS,Summer,0.38,0.25,0.7,n-Space,2924,tbd,E,Disney Interactive Studios,40990.0,$14.99,2009.0
Madden NFL 2005,Sports,GC,Summer,0.54,0.14,0.7,EA Tiburon,2908,tbd,E,Electronic Arts,-1.0,,2004.0
Jade Empire,Role-Playing,XB,Spring,0.48,0.19,0.7,BioWare,2912,8.6,M,Microsoft Game Studios,-1.0,$3.74,2005.0
Prince of Persia: The Forgotten Sands,Action,PS3,Spring,0.19,0.36,0.69,Ubisoft Montreal,2959,7.6,T,Ubisoft,-1.0,$2.00,2010.0
Need for Speed Rivals,Racing,XOne,Fall,0.46,0.17,0.69,Ghost Games,2956,5.8,E10+,Electronic Arts,-1.0,1.49,2013.0
Halo 2 Multiplayer Map Pack,Shooter,XB,Fall,0.54,0.13,0.69,Bungie Software,2941,7.4,M,Microsoft Game Studios,-1.0,,2005.0
LEGO Batman 2: DC Super Heroes,Action,DS,Summer,0.39,0.24,0.69,TT Games,2963,8,E10+,Warner Bros. Interactive Entertainment,-1.0,$3.12,2012.0
Plants vs. Zombies: Garden Warfare,Shooter,XOne,Winter,0.39,0.23,0.69,PopCap,2955,7.4,E10+,Electronic Arts,-1.0,$5.99,2014.0
IL-2 Sturmovik: Birds of Prey,Simulation,PS3,Fall,0.34,0.25,0.68,Gaijin Entertainment,2968,7.3,T,505 Games,-1.0,,2009.0
Wolfenstein: The New Order,Shooter,XOne,Spring,0.34,0.28,0.68,MachineGames,2991,7.8,M,Bethesda Softworks,-1.0,$4.99,2014.0
Sniper Elite 3,Action,PS2,Summer,0.57,0.02,0.68,Ubisoft Montreal,2981,8.5,M,Ubisoft,238090.0,$29.99,2005.0
LEGO Harry Potter: Years 1-4,Action,PSP,Summer,0.14,0.36,0.68,TT Fusion,2993,tbd,E10+,Warner Bros. Interactive Entertainment,-1.0,$3.12,2010.0
Terraria,Shooter,Wii,Spring,0.54,0.03,0.67,Ubisoft Paris,3015,6.8,T,Ubisoft,105600.0,$9.18,2006.0
The Sims 3,Simulation,DS,Summer,0.38,0.22,0.67,Exient Entertainment,3023,6.4,E,Electronic Arts,-1.0,$19.99,2010.0
Terraria,Action,X360,Spring,0.35,0.27,0.67,Engine Software,3014,7.2,T,505 Games,-1.0,$9.18,2013.0
RIFT,Platform,PS3,Fall,0.26,0.29,0.67,Treyarch,2998,7,T,Activision,39120.0,$2.99,2007.0
Adventures of Tron,Action,2600,Winter,0.63,0.03,0.67,Sanzaru Games Inc.,3021,,,Mattel Interactive,-1.0,$7.99,1981.0
The Sims 3: High-End Loft Stuff,Simulation,PC,Summer,0.01,0.54,0.66,The Sims Studio,3041,6.5,T,Electronic Arts,-1.0,$9.99,2010.0
Plants vs. Zombies: Garden Warfare,Shooter,PS3,Winter,0.22,0.32,0.66,PopCap,3076,7.8,E10+,Electronic Arts,-1.0,$5.99,2014.0
LEGO Harry Potter: Years 5-7,Action,DS,Fall,0.34,0.25,0.66,Traveller's Tales,3081,tbd,E10+,Warner Bros. Interactive Entertainment,-1.0,3.12,
F1 2015,Sports,PS2,Summer,0.55,0.02,0.66,Page 44 Studios,3036,6.6,T,Activision,286570.0,,2007.0
Command & Conquer: Red Alert 3,Misc,DS,Fall,0.0,0.0,0.66,Visual Concepts,3027,,,IE Institute,17480.0,$1.19,2006.0
Metro: Last Light,Action,PS4,Spring,0.22,0.3,0.66,4A Games,3063,,,Deep Silver,-1.0,$1.99,2014.0
