Name,Platform,Global_Sales_Millions,EU_Sales_Millions,NA_Sales_Millions,Publisher,Release_Season,Original_Index,Steam_App_ID
Sonic & All-Stars Racing Transformed,WiiU,0.51,0.26,0.19,Sega,Fall,3879,
EyeCreate,PS3,0.08,0.07,0.0,Sony Computer Entertainment,Fall,11505,
IL-2 Sturmovik: Birds of Prey,X360,0.51,0.23,0.23,505 Games,Fall,3897,
Alien: Isolation,XOne,0.51,0.24,0.22,Sega,Fall,3909,
Cabela's Big Game Hunter 2005 Adventures,PS2,0.56,0.21,0.28,Activision,Fall,3570,
Mortal Kombat 4,N64,0.73,0.17,0.55,GT Interactive,Fall,2797,
FIFA: Road to World Cup 98,PS,0.73,0.09,0.14,Electronic Arts,Fall,2788,
XGRA: Extreme G Racing Association,PS2,0.06,0.02,0.03,Acclaim Entertainment,Fall,12324,
Venetica,PC,0.05,0.04,0.0,DTP Entertainment,Fall,13062,
The Simpsons Game,X360,1.03,0.39,0.54,Electronic Arts,Fall,1999,
Sonic Unleashed,PS3,1.02,0.32,0.56,Sega,Fall,2026,
Sonic Generations,3DS,1.02,0.47,0.44,Sega,Fall,2036,
The Simpsons Game,Wii,1.01,0.46,0.45,Electronic Arts,Fall,2045,
Assassin's Creed: Rogue,X360,1.01,0.34,0.58,Ubisoft,Fall,2050,
Rayman Origins,PS3,1.0,0.49,0.33,Ubisoft,Fall,2074,
Oddworld: Abe's Exoddus,PS,0.99,0.38,0.55,GT Interactive,Fall,2083,
FIFA Soccer 2003,GBA,0.05,0.01,0.04,Electronic Arts,Fall,12918,
Grand Theft Auto: San Andreas,PC,0.97,0.93,0.0,Take-Two Interactive,Fall,2115,
FIFA Soccer 2005,XB,0.97,0.6,0.33,Electronic Arts,Fall,2125,
Resident Evil: The Darkside Chronicles,Wii,1.05,0.31,0.46,Capcom,Fall,1966,
WTA Tour Tennis,PS2,0.05,0.02,0.03,Konami Digital Entertainment,Fall,12914,
Far Cry 3,PC,0.96,0.62,0.22,Ubisoft,Fall,2136,
BlowOut,XB,0.05,0.01,0.04,Zoo Digital Publishing,Fall,12908,
Sonic Unleashed,X360,0.95,0.32,0.54,Sega,Fall,2161,
Rise of the Tomb Raider,PS4,0.94,0.53,0.23,Square Enix,Fall,2204,
NHL 2003,PS2,0.93,0.36,0.46,Electronic Arts,Fall,2208,
The Sims 2,DS,0.93,0.05,0.81,Electronic Arts,Fall,2211,
Tony Hawk's Pro Skater 4,XB,0.93,0.3,0.59,Activision,Fall,2213,
Kingdom Hearts Re:coded,DS,0.93,0.09,0.53,Square Enix,Fall,2229,
Lego Batman 3: Beyond Gotham,PS4,0.93,0.4,0.37,Warner Bros. Interactive Entertainment,Fall,2232,
Assassin's Creed III,PC,0.93,0.53,0.28,Ubisoft,Fall,2237,
Borderlands 2,PC,0.93,0.41,0.42,Take-Two Interactive,Fall,2238,
LEGO Harry Potter: Years 5-7,X360,0.97,0.37,0.51,Warner Bros. Interactive Entertainment,Fall,2132,
Call of Duty 4: Modern Warfare,DS,1.05,0.01,0.95,Activision,Fall,1964,
Bully: Scholarship Edition,X360,1.06,0.4,0.53,Take-Two Interactive,Fall,1944,
The Orange Box,PS3,1.06,0.58,0.28,Electronic Arts,Fall,1941,
Cabela's Trophy Bucks,X360,0.05,0.0,0.04,Activision Value,Fall,13413,
The Sims 2: Castaway,Wii,1.2,0.63,0.44,Electronic Arts,Fall,1673,
FIFA Soccer 07,PSP,1.2,0.64,0.25,Electronic Arts,Fall,1674,
Test Drive Le Mans,PS,0.05,0.02,0.03,Infogrames,Fall,13410,
Tom Clancy's Rainbow Six: Lockdown,GC,0.05,0.01,0.04,Ubisoft,Fall,13389,
NHL 2002,PS2,1.2,0.46,0.59,Electronic Arts,Fall,1686,
Ys: The Ark of Napishtim,PSP,0.05,0.0,0.04,Konami Digital Entertainment,Fall,13382,
Need for Speed Underground,PC,0.05,0.04,0.0,Electronic Arts,Fall,13348,
Tony Hawk's Pro Skater 2,GBA,1.18,0.31,0.85,Activision,Fall,1715,
Mega Man 3,NES,1.17,0.1,0.68,Capcom,Fall,1722,
Cabela's Dangerous Hunts,PS2,1.17,0.45,0.57,Zoo Digital Publishing,Fall,1729,
Grand Theft Auto V,PC,1.17,0.69,0.39,Take-Two Interactive,Fall,1730,
FIFA 14,XOne,1.16,0.66,0.41,Electronic Arts,Fall,1753,
Call of Duty 4: Modern Warfare,PC,1.15,1.12,0.0,Activision,Fall,1772,
Utawarerumono: Itsuwari no Kamen,PS3,0.05,0.0,0.0,Aqua Plus,Fall,13314,
Alien: Isolation,PS4,1.13,0.57,0.34,Sega,Fall,1812,
Need for Speed Carbon,PC,0.05,0.04,0.0,Electronic Arts,Fall,13306,
The Beatles: Rock Band,PS3,1.12,0.29,0.67,MTV Games,Fall,1834,
Castlevania: Lords of Shadow,PS3,1.1,0.35,0.5,Konami Digital Entertainment,Fall,1852,
Need for Speed: ProStreet,Wii,1.1,0.45,0.53,Electronic Arts,Fall,1867,
Star Wars: The Force Unleashed,PSP,1.08,0.4,0.43,LucasArts,Fall,1907,
The Simpsons Game,PSP,1.07,0.54,0.24,Electronic Arts,Fall,1912,
Naruto: Ultimate Ninja Storm,PS3,1.07,0.34,0.49,Namco Bandai Games,Fall,1932,
Jenga World Tour,Wii,0.05,0.0,0.05,Atari,Fall,13118,
Spore Creatures,DS,1.06,0.3,0.66,Electronic Arts,Fall,1940,
Cabela's Big Game Hunter 2005 Adventures,GBA,0.06,0.01,0.04,Activision,Fall,12840,
LEGO Harry Potter: Years 5-7,PS3,0.91,0.41,0.36,Warner Bros. Interactive Entertainment,Fall,2273,
Marvel: Ultimate Alliance 2,X360,0.9,0.15,0.68,Activision,Fall,2294,
Far Cry 4,X360,0.9,0.37,0.45,Ubisoft,Fall,2297,
Need for Speed Rivals,X360,0.79,0.35,0.37,Electronic Arts,Fall,2591,
Call of Duty 2,PC,0.06,0.05,0.0,Activision,Fall,12530,
The Sims 2: Castaway,PSP,0.79,0.46,0.08,Electronic Arts,Fall,2607,
Naruto Shippuden: Ultimate Ninja Storm 2,X360,0.78,0.27,0.43,Namco Bandai Games,Fall,2621,
Pro Evolution Soccer 2012,PS2,0.06,0.0,0.0,Konami Digital Entertainment,Fall,12526,
Mobile Suit Gundam 00: Gundam Meisters,PS2,0.06,0.0,0.0,Namco Bandai Games,Fall,12496,
Rayman Origins,X360,0.78,0.32,0.38,Ubisoft,Fall,2639,
Need for Speed: ProStreet,PSP,0.77,0.33,0.24,Electronic Arts,Fall,2647,
Marvel Nemesis: Rise of the Imperfects,PS2,0.77,0.02,0.64,Electronic Arts,Fall,2649,
Donkey Kong Country 3,GBA,0.77,0.17,0.45,Nintendo,Fall,2665,
Sonic Unleashed,PS2,0.76,0.04,0.37,Sega,Fall,2672,
Steins;Gate,X360,0.06,0.0,0.0,5pb,Fall,12459,
Tony Hawk's Pro Skater 2,N64,0.76,0.16,0.59,Activision,Fall,2690,
True Crime: New York City,PS2,0.76,0.02,0.57,Activision,Fall,2707,
Mega Man X5,PS,0.75,0.21,0.3,Capcom,Fall,2716,
Titanfall 2,PS4,0.75,0.25,0.34,Electronic Arts,Fall,2718,
Metal Gear Solid V: The Phantom Pain,XOne,0.75,0.26,0.41,Konami Digital Entertainment,Fall,2720,
Lego Batman 3: Beyond Gotham,PC,0.06,0.06,0.0,Warner Bros. Interactive Entertainment,Fall,12441,
Steins;Gate,PS3,0.06,0.02,0.01,PQube,Fall,12430,
Need for Speed: Shift,PSP,0.74,0.37,0.16,Electronic Arts,Fall,2755,
Assassin's Creed: Revelations,PC,0.74,0.48,0.14,Ubisoft,Fall,2758,
Tom Clancy's Rainbow Six: Vegas,PSP,0.74,0.19,0.42,Ubisoft,Fall,2763,
The Elder Scrolls V: Skyrim,XOne,0.74,0.27,0.41,Bethesda Softworks,Fall,2768,
Lego Batman 3: Beyond Gotham,PS3,0.74,0.28,0.33,Warner Bros. Interactive Entertainment,Fall,2774,
Marvel: Ultimate Alliance 2,PS3,0.73,0.15,0.49,Activision,Fall,2783,
World Series of Poker 2008: Battle for the Bracelets,DS,0.06,0.0,0.05,Activision,Fall,12548,
Bomberman Jetters,GC,0.08,0.02,0.06,Hudson Soft,Fall,11329,
All Star Cheer Squad,Wii,0.79,0.29,0.43,THQ,Fall,2585,
Pro Evolution Soccer 2010,PSP,0.8,0.33,0.09,Konami Digital Entertainment,Fall,2567,
Friends: The One with All the Trivia,PS2,0.06,0.02,0.03,Warner Bros. Interactive Entertainment,Fall,12826,
Lego Batman 3: Beyond Gotham,X360,0.89,0.33,0.48,Warner Bros. Interactive Entertainment,Fall,2335,
CSI: Hard Evidence,Wii,0.89,0.43,0.36,Ubisoft,Fall,2343,
Myst,SAT,0.06,0.0,0.0,Sunsoft,Fall,12793,
The Simpsons Game,PS3,0.88,0.36,0.38,Electronic Arts,Fall,2355,
Star Wars: The Force Unleashed,DS,0.88,0.28,0.5,LucasArts,Fall,2370,
Broken Sword II: The Smoking Mirror,PS,0.06,0.02,0.03,Sony Computer Entertainment,Fall,12773,
Viewtiful Joe: Red Hot Rumble,GC,0.06,0.01,0.04,Capcom,Fall,12761,
Michael Jackson: The Experience,X360,0.87,0.18,0.62,Ubisoft,Fall,2391,
Conflict: Desert Storm,XB,0.87,0.37,0.48,SCi,Fall,2401,
Dragon Quest VIII: Journey of the Cursed King,3DS,0.86,0.0,0.0,Square Enix,Fall,2414,
Tom Clancy's Splinter Cell: Double Agent,GC,0.06,0.01,0.04,Ubisoft,Fall,12737,
The Legendary Starfy,DS,0.85,0.0,0.6,Nintendo,Fall,2447,
Need for Speed: Shift,PC,0.06,0.05,0.0,Electronic Arts,Fall,12682,
FIFA Soccer 07,DS,0.06,0.01,0.05,Electronic Arts,Fall,12657,
ESPN College Hoops 2K5,PS2,0.84,0.32,0.41,Sega,Fall,2467,
Utawarerumono: Itsuwari no Kamen,PS4,0.06,0.0,0.0,Aqua Plus,Fall,12648,
Q*bert,PS,0.84,0.32,0.46,Atari,Fall,2474,
Broken Sword: The Shadow of the Templars,GBA,0.06,0.02,0.04,BAM! Entertainment,Fall,12621,
Tony Hawk's Pro Skater 3,GC,0.82,0.17,0.64,Activision,Fall,2504,
