Name,Platform,Global_Sales_Millions,EU_Sales_Millions,NA_Sales_Millions,Publisher,Release_Season,Original_Index,Steam_App_ID
LEGO Harry Potter: Years 1-4,Wii,2.43,0.93,1.28,Warner Bros. Interactive Entertainment,Summer,638,
Call of Duty: Infinite Warfare,XOne,2.42,0.74,1.46,Activision,Fall,640,
Madden NFL 16,XOne,2.42,0.08,2.08,Electronic Arts,Summer,641,292730.0
Sonic Adventure,DC,2.42,0.61,1.26,Sega,Winter,643,
Tomb Raider (2013),PS3,2.42,1.26,0.6,Square Enix,Spring,646,
Need for Speed Carbon: Own the City,PSP,2.42,0.97,0.87,Electronic Arts,Fall,647,
Need for Speed: ProStreet,PS2,2.41,0.0,0.69,Electronic Arts,Fall,652,
Halo: Combat Evolved Anniversary,X360,2.4,0.7,1.44,Microsoft Game Studios,Fall,653,
Half-Life 2,PC,2.37,0.02,2.28,Vivendi Games,Fall,665,
Half-Life 2,PS2,2.37,1.08,0.96,THQ,Fall,666,220.0
Madden NFL 08,X360,2.37,0.01,2.18,Electronic Arts,Summer,667,
Kinect: Disneyland Adventures,X360,2.35,0.43,1.73,Microsoft Game Studios,Fall,675,
Resident Evil - Code: Veronica X,PS2,2.34,0.7,1.08,Capcom,Winter,679,
Chrono Trigger,SNES,2.31,0.0,0.28,SquareSoft,Spring,687,
Guild Wars 2,PS,2.31,0.46,1.65,989 Studios,Summer,689,1284210.0
Batman: Arkham Origins,PC,2.29,1.25,0.91,Eidos Interactive,Fall,693,209000.0
LEGO Star Wars: The Complete Saga,PS3,2.29,0.9,1.02,LucasArts,Fall,695,
Pro Evolution Soccer 2010,PS3,2.28,1.27,0.3,Konami Digital Entertainment,Fall,697,
Mario Bros.,NES,2.28,0.12,0.51,Nintendo,Winter,698,
LEGO Harry Potter: Years 1-4,DS,2.28,0.99,1.07,Warner Bros. Interactive Entertainment,Summer,700,
The Sims 3,X360,2.28,0.81,1.27,Electronic Arts,Summer,701,
The Sims 3,DS,2.28,0.53,0.94,Nintendo,Summer,702,47890.0
Battlefield 1,XOne,2.25,0.77,1.28,Electronic Arts,Fall,709,
Battlefield 1,PS2,2.25,0.44,0.62,Capcom,Fall,710,1238840.0
New Super Luigi U,WiiU,2.24,0.62,1.25,Nintendo,Summer,720,
Assassin's Creed IV: Black Flag,XOne,2.23,0.55,1.48,Ubisoft,Fall,721,
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,2.23,0.25,1.74,Konami Digital Entertainment,Fall,725,
Borderlands 2,PS3,2.23,0.72,1.05,Take-Two Interactive,Fall,727,
Borderlands 2,PS2,2.22,1.03,0.88,Ubisoft,Fall,728,49520.0
LEGO Marvel Super Heroes,GB,2.22,0.63,1.0,Nintendo,Fall,731,249130.0
Resident Evil 4,Wii,2.22,0.56,1.32,Capcom,Winter,732,
Resident Evil 4,PS4,2.21,1.19,0.55,Ubisoft,Spring,733,2050650.0
Star Wars: The Force Unleashed,PS3,2.21,0.85,1.01,LucasArts,Fall,734,
Forza Motorsport 5,XOne,2.2,0.79,1.21,Microsoft Game Studios,Fall,738,
Need for Speed: Hot Pursuit,DS,2.2,0.59,1.4,Activision,Fall,743,47870.0
BioShock 2,X360,2.2,0.54,1.45,Take-Two Interactive,Winter,744,
BioShock 2,DS,2.2,0.9,1.06,Disney Interactive Studios,Winter,745,8850.0
Donkey Kong Country,GB,2.19,0.72,1.04,Nintendo,Fall,748,
Pro Evolution Soccer 2012,PS3,2.19,0.96,0.34,Konami Digital Entertainment,Fall,750,
Sonic Unleashed,Wii,2.16,0.67,1.26,Sega,Fall,762,
SimCity 2000,PC,2.14,0.84,1.2,Maxis,Winter,769,203140.0
R.C. Pro-Am,NES,2.14,0.38,1.47,Nintendo,Winter,770,
Demon Attack,2600,2.13,0.12,1.99,Imagic,Spring,773,
Tony Hawk's Pro Skater,N64,2.11,0.4,1.68,Activision,Fall,781,
Devil May Cry 3: Dante's Awakening,PS2,2.09,0.63,0.99,Capcom,Winter,793,
Dying Light,PS4,2.09,0.67,0.96,Warner Bros. Interactive Entertainment,Winter,797,
Dying Light,3DS,2.09,0.45,0.25,Nintendo,Winter,798,239140.0
Final Fantasy III,DS,2.08,0.04,0.89,Square Enix,Spring,802,
Portal 2,X360,2.08,0.49,1.41,Valve Software,Spring,808,
Portal 2,Wii,2.08,0.44,0.88,Nintendo,Spring,809,620.0
Tom Clancy's Splinter Cell: Conviction,X360,2.06,0.62,1.2,Ubisoft,Spring,824,
SoulCalibur II,PS2,2.06,0.62,1.06,Namco Bandai Games,Summer,825,
Need for Speed: ProStreet,X360,2.05,0.79,1.04,Electronic Arts,Fall,826,
Peter Jackson's King Kong: The Official Game of the Movie,PS2,2.04,1.02,0.71,Ubisoft,Fall,834,
Need for Speed: ProStreet,PS3,2.04,0.91,0.73,Electronic Arts,Fall,835,
Donkey Kong Country,GBA,2.04,0.48,1.2,Nintendo,Fall,836,
Call of Duty 2,X360,2.03,0.04,1.82,Activision,Fall,842,
Call of Duty 2,Wii,2.03,1.08,0.72,Ubisoft,Fall,843,2630.0
Battlefield 4,XOne,2.02,0.58,1.25,Electronic Arts,Fall,847,
Battlefield 4,3DS,2.01,0.45,0.9,Nintendo,Fall,848,1238860.0
Need for Speed Rivals,PS4,1.98,0.92,0.73,Electronic Arts,Fall,863,
Devil May Cry 2,PS2,1.97,0.58,0.71,Capcom,Winter,865,
Tom Clancy's Rainbow Six: Vegas,X360,1.95,0.65,1.09,Ubisoft,Fall,872,
Resident Evil 6,X360,1.95,0.6,1.12,Capcom,Fall,874,
Grand Theft Auto: San Andreas,XB,1.95,0.61,1.26,Take-Two Interactive,Fall,875,221040.0
Star Wars: Dark Forces,PC,1.95,0.77,1.09,LucasArts,Spring,876,12120.0
The Sims 3,PS3,1.94,0.89,0.73,Electronic Arts,Summer,884,
The Sims 3,X360,1.94,1.26,0.49,Electronic Arts,Summer,885,47890.0
Call of Duty: World at War,PS,1.94,0.42,1.41,Sony Computer Entertainment,Fall,888,10090.0
BioShock Infinite,PS2,1.93,0.72,1.0,Activision,Spring,891,8870.0
Mortal Kombat II,SNES,1.93,0.39,1.48,Acclaim Entertainment,Fall,892,
Need for Speed: Shift,X360,1.91,0.96,0.73,Electronic Arts,Fall,905,
Tomb Raider (2013),X360,1.89,0.84,0.86,Square Enix,Spring,910,
Batman: Arkham Origins,Wii,1.88,0.43,1.28,Midway Games,Fall,916,209000.0
Madden NFL 06,XB,1.86,0.03,1.75,Electronic Arts,Summer,931,
Turok 2: Seeds of Evil,N64,1.86,0.41,1.37,Acclaim Entertainment,Winter,933,
Star Wars: The Force Unleashed,Wii,1.86,0.56,1.11,LucasArts,Fall,936,
Just Cause 3,PS4,1.86,1.03,0.47,Square Enix,Winter,938,
Just Cause 3,PS,1.86,0.42,0.62,SquareSoft,Fall,939,225540.0
Max Payne 3,PS3,1.85,0.89,0.59,Take-Two Interactive,Spring,943,
Max Payne 3,PS2,1.84,1.1,0.0,Unknown,,944,204100.0
LEGO Marvel Super Heroes,DS,1.84,0.37,1.32,Disney Interactive Studios,Fall,946,249130.0
Secret of Mana,SNES,1.83,0.07,0.25,SquareSoft,Summer,953,
The Orange Box,X360,1.82,0.53,1.09,Electronic Arts,Fall,964,
Mafia III,PS4,1.81,1.08,0.42,Take-Two Interactive,Fall,968,
Madden NFL 07,X360,1.8,0.0,1.66,Electronic Arts,Summer,972,
The Evil Within,Wii,1.79,0.74,0.89,Nintendo,Fall,977,268050.0
Madden NFL 17,PS4,1.75,0.17,1.25,Electronic Arts,Summer,1007,
Just Cause 2,SNES,1.75,0.34,0.94,Capcom,Spring,1009,8190.0
The Elder Scrolls Online,PS3,1.75,1.06,0.35,Electronic Arts,Spring,1013,306130.0
Dragon's Dogma,PS3,1.74,0.44,0.41,Capcom,Spring,1023,
The Order: 1886,PS4,1.74,0.78,0.61,Sony Computer Entertainment,Winter,1026,
Hitman: Absolution,PS2,1.72,0.66,0.85,Take-Two Interactive,Fall,1034,203140.0
Madden NFL 2005,XB,1.72,0.03,1.61,Electronic Arts,Summer,1038,
Dishonored,X360,1.71,0.5,1.06,Bethesda Softworks,Fall,1041,
Dishonored,PS,1.71,0.64,0.99,Activision,Fall,1042,205100.0
The Beatles: Rock Band,Wii,1.71,0.39,1.17,MTV Games,Fall,1043,
Need for Speed Underground,XB,1.71,0.55,1.09,Electronic Arts,Fall,1045,
Portal 2,PS3,1.7,0.6,0.83,Valve,Spring,1052,
Super Puyo Puyo,SNES,1.7,0.0,0.0,Banpresto,Fall,1053,620.0
No Man's Sky,PS4,1.7,0.76,0.63,Hello Games,Summer,1056,
No Man's Sky,DS,1.7,0.82,0.68,D3Publisher,Summer,1057,275850.0
BioShock Infinite,PS,1.69,0.64,0.94,Sony Computer Entertainment,Spring,1061,8870.0
Resident Evil 4,GC,1.69,0.42,0.98,Capcom,Winter,1068,
Resident Evil 4,DS,1.69,1.12,0.48,Nintendo,Spring,1069,2050650.0
Saints Row 2,GB,1.68,0.24,0.59,Nintendo,Winter,1076,9480.0
 Fire Emblem Fates,3DS,1.68,0.23,0.81,Nintendo,Summer,1079,8930.0
Tony Hawk's Pro Skater 3,PS,1.67,0.49,1.09,Activision,Fall,1088,
Dragon Age: Origins,PS3,1.67,0.42,0.96,Electronic Arts,Fall,1091,
Street Fighter II': Special Champion Edition,GEN,1.66,0.3,1.0,Sega,Spring,1099,
Saints Row IV,X360,1.66,0.5,1.01,Deep Silver,Summer,1103,
NBA Live 2003,PS2,1.66,0.15,1.25,Electronic Arts,Fall,1104,
LEGO Batman 2: DC Super Heroes,X360,1.66,0.61,0.9,Warner Bros. Interactive Entertainment,Summer,1105,
Dark Souls III,2600,1.65,0.1,1.54,Atari,Spring,1108,374320.0
Need for Speed Carbon,X360,1.65,0.69,0.76,Electronic Arts,Fall,1113,
Far Cry 4,XOne,1.63,0.69,0.8,Ubisoft,Fall,1125,
Far Cry 4,XB,1.63,0.02,1.54,Sega,Fall,1126,298110.0
Beyond: Two Souls,PS3,1.63,0.8,0.52,Sony Computer Entertainment,Fall,1127,
Call of Duty: Black Ops,PC,1.63,0.81,0.58,Activision,Fall,1131,
Call of Duty: Black Ops,PS,1.63,0.48,0.71,Sony Computer Entertainment,Fall,1132,42700.0
Max Payne 3,X360,1.62,0.62,0.86,Take-Two Interactive,Spring,1134,
Max Payne 3,X360,1.62,0.95,0.45,Microsoft Game Studios,,1135,204100.0
LEGO Marvel Super Heroes,PS,1.62,0.61,0.9,Electronic Arts,Fall,1140,249130.0
Dragon Quest IV: Chapters of the Chosen,DS,1.62,0.02,0.3,Square Enix,Winter,1143,
River Raid,2600,1.6,0.09,1.49,Activision,Winter,1154,
Just Cause 2,PS,1.6,0.48,0.71,Konami Digital Entertainment,Spring,1156,8190.0
Sonic Heroes,GC,1.6,0.44,1.05,Sega,Winter,1157,
Far Cry 2,GC,1.59,0.36,1.15,Nintendo,Fall,1162,19900.0
Mario Bros.,2600,1.59,0.09,1.48,Atari,Winter,1164,
