Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,Global_Sales,User_Count,Developer,Original_Index,Release_Season
Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft,2.64,1.33,4.36,31.0,"Ubisoft Paris, Ubisoft Montpellier",254,Fall
The Legend of Zelda: Ocarina of Time,3DS,2011.0,Action,Nintendo,2.09,1.31,4.33,,,259,Fall
Batman: Arkham Asylum,PS3,2009.0,Action,Eidos Interactive,2.24,1.31,4.23,1122.0,Rocksteady Studios,267,Summer
Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,Konami Digital Entertainment,1.46,0.0,4.23,955.0,KCEJ,268,Fall
Assassin's Creed: Revelations,PS3,2011.0,Action,Ubisoft,1.41,2.01,4.22,613.0,Ubisoft Montreal,269,Fall
Fallout 4,XOne,2015.0,Role-Playing,Bethesda Softworks,2.51,1.32,4.22,1749.0,Bethesda Game Studios,270,Fall
FIFA 14,X360,2013.0,Sports,Electronic Arts,0.92,2.89,4.22,435.0,EA Canada,271,Fall
Assassin's Creed: Revelations,X360,2011.0,Action,Ubisoft,2.25,1.47,4.19,564.0,Ubisoft Montreal,277,Fall
FIFA Soccer 07,PS2,2006.0,Sports,Electronic Arts,0.71,2.48,4.11,,,286,Fall
Street Fighter II Turbo,SNES,1992.0,Fighting,Capcom,1.42,0.51,4.1,,,287,Winter
Battlefield 1,PS4,2016.0,Shooter,Electronic Arts,1.1,2.15,4.08,809.0,EA DICE,289,Fall
World Soccer Winning Eleven 9,PS2,2005.0,Sports,Konami Digital Entertainment,0.12,2.26,4.06,23.0,Konami,291,Summer
Far Cry 4,PS4,2014.0,Shooter,Ubisoft,1.13,2.18,4.04,1653.0,Ubisoft Montreal,298,Fall
Left 4 Dead 2,X360,2009.0,Shooter,Electronic Arts,2.67,0.87,3.97,681.0,Valve Software,302,Fall
The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,Bethesda Softworks,1.16,2.12,3.88,9073.0,Bethesda Game Studios,313,Fall
Dragon Warrior III,NES,1988.0,Role-Playing,Enix Corporation,0.1,0.0,3.87,,,316,Winter
World Soccer Winning Eleven 8 International,PS2,2004.0,Sports,Konami Digital Entertainment,0.16,1.89,3.85,38.0,KCET,319,Summer
Resident Evil 3: Nemesis,PS,1999.0,Action,Eidos Interactive,1.3,0.77,3.72,,,334,Fall
Assassin's Creed IV: Black Flag,PS3,2013.0,Action,Ubisoft,1.33,1.68,3.71,840.0,Ubisoft,337,Fall
FIFA Soccer 2005,PS2,2004.0,Sports,Electronic Arts,0.58,2.48,3.7,56.0,EA Canada,338,Fall
Tony Hawk's Pro Skater 4,PS2,2002.0,Sports,Activision,2.13,1.18,3.67,128.0,Neversoft Entertainment,341,Fall
Resident Evil 4,PS2,2005.0,Action,Capcom,2.08,0.83,3.62,1013.0,Capcom,350,Winter
Doom II: Hell on Earth,PC,1994.0,Shooter,Virgin Interactive,2.05,1.4,3.61,,,354,Fall
Battlefield 4,PS4,2013.0,Shooter,Electronic Arts,1.35,1.55,3.59,1580.0,EA DICE,357,Fall
Grand Theft Auto: Liberty City Stories,PS2,2006.0,Action,Take-Two Interactive,1.56,1.4,3.54,112.0,Rockstar Leeds,363,Fall
LEGO Star Wars: The Video Game,PS2,2005.0,Action,Eidos Interactive,1.98,1.14,3.53,,,367,Spring
Left 4 Dead,X360,2008.0,Shooter,Electronic Arts,2.66,0.49,3.51,1309.0,Certain Affinity,371,Fall
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996.0,Platform,Nintendo,1.17,0.5,3.51,,,372,Fall
Resident Evil 5,X360,2009.0,Action,Capcom,2.11,0.93,3.5,523.0,Capcom,375,Spring
Assassin's Creed: Brotherhood,X360,2010.0,Action,Ubisoft,2.85,0.38,3.49,693.0,Ubisoft Montreal,376,Fall
Battlefield 4,PS3,2013.0,Shooter,Electronic Arts,1.3,1.42,3.49,579.0,EA DICE,378,Fall
Batman: Arkham Asylum,X360,2009.0,Action,Eidos Interactive,2.2,0.95,3.48,1080.0,Rocksteady Studios,379,Summer
Battlefield 4,X360,2013.0,Shooter,Electronic Arts,2.15,1.01,3.48,542.0,EA DICE,380,Fall
Final Fantasy III,SNES,1994.0,Role-Playing,SquareSoft,0.86,0.0,3.42,,,388,Spring
Grand Theft Auto 2,PS,1998.0,Action,Take-Two Interactive,1.13,2.07,3.42,67.0,DMA Design,389,Fall
Metal Gear Solid V: The Phantom Pain,PS4,2015.0,Action,Konami Digital Entertainment,1.09,1.36,3.41,3943.0,"Kojima Productions, Moby Dick Studio",390,Fall
FIFA Soccer 2003,PS2,2002.0,Sports,Electronic Arts,0.46,2.28,3.4,35.0,EA Canada,393,Fall
Assassin's Creed Syndicate,PS4,2015.0,Action,Ubisoft,0.81,1.99,3.39,1319.0,Ubisoft Quebec,396,Fall
Far Cry 3,PS3,2012.0,Shooter,Ubisoft,0.88,1.7,3.35,1041.0,Ubisoft Montreal,401,Fall
Assassin's Creed IV: Black Flag,X360,2013.0,Action,Ubisoft,1.9,1.11,3.3,701.0,Ubisoft,410,Fall
True Crime: Streets of LA,PS2,2003.0,Action,Activision,1.89,1.05,3.27,94.0,"Luxoflux, Inc.",414,Fall
Madden NFL 16,PS4,2015.0,Sports,Electronic Arts,2.34,0.3,3.24,180.0,EA Sports,420,Summer
L.A. Noire,PS3,2011.0,Adventure,Take-Two Interactive,1.27,1.29,3.17,1010.0,Team Bondi,433,Spring
Dragon Warrior IV,NES,1990.0,Role-Playing,Enix Corporation,0.08,0.0,3.12,,,443,Winter
The Elder Scrolls IV: Oblivion,PS3,2007.0,Role-Playing,Ubisoft,1.69,0.85,3.1,604.0,4J Studios,447,Spring
Resident Evil 6,PS3,2012.0,Shooter,Capcom,0.88,0.94,3.1,1304.0,Capcom,449,Fall
Mass Effect 2,X360,2010.0,Role-Playing,Electronic Arts,1.99,0.81,3.1,3143.0,BioWare,450,Winter
Madden NFL 2002,PS2,2001.0,Sports,Electronic Arts,2.5,0.16,3.08,46.0,EA Sports,452,Summer
Borderlands 2,X360,2012.0,Shooter,Take-Two Interactive,1.89,0.88,3.05,892.0,Gearbox Software,459,Fall
Mass Effect 3,X360,2012.0,Role-Playing,Electronic Arts,1.94,0.84,3.04,3725.0,BioWare,462,Spring
Heavy Rain,PS3,2010.0,Adventure,Sony Computer Entertainment,1.29,1.21,3.03,2759.0,Quantic Dream,463,Winter
FIFA 14,PS4,2013.0,Sports,Electronic Arts,0.61,1.85,3.01,616.0,EA Canada,469,Fall
Far Cry 3,X360,2012.0,Shooter,Ubisoft,1.38,1.32,3.0,1247.0,Ubisoft Montreal,471,Fall
Middle-Earth: Shadow of Mordor,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,1.01,1.43,2.96,1886.0,Monolith Productions,481,Fall
Sonic Heroes,PS2,2003.0,Platform,Sega,1.04,1.37,2.96,94.0,Sonic Team,482,Winter
Assassin's Creed IV: Black Flag,PS4,2013.0,Action,Ubisoft,1.07,1.31,2.85,1530.0,Ubisoft,509,Fall
BioShock,X360,2007.0,Shooter,Take-Two Interactive,1.65,0.85,2.83,2249.0,"Irrational Games, 2K Marin",516,Summer
Metroid Prime,GC,2002.0,Shooter,Nintendo,1.96,0.67,2.82,747.0,Retro Studios,517,Fall
Assassin's Creed: Brotherhood,PS3,2010.0,Action,Ubisoft,1.87,0.55,2.82,791.0,Ubisoft Montreal,518,Fall
Myst,PC,1994.0,Adventure,Red Orb,0.02,2.79,2.81,,,521,Fall
Mortal Kombat X,PS4,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.5,0.8,2.78,836.0,"Warner Bros. Interactive Entertainment, NetherRealm Studios",539,Spring
Star Wars: The Force Unleashed,X360,2008.0,Action,LucasArts,1.74,0.77,2.77,389.0,LucasArts,542,Fall
Onimusha: Warlords,PS2,2001.0,Action,Virgin Interactive,0.99,0.48,2.7,56.0,Capcom,554,Winter
L.A. Noire,X360,2011.0,Adventure,Take-Two Interactive,1.52,0.92,2.7,893.0,Team Bondi,556,Spring
Need for Speed: Shift,PS3,2009.0,Racing,Electronic Arts,0.69,1.4,2.65,113.0,Slightly Mad Studios,575,Fall
Final Fantasy XIII-2,PS3,2011.0,Role-Playing,Square Enix,0.78,0.73,2.63,707.0,Square Enix,578,Winter
Halo Wars,X360,2009.0,Strategy,Microsoft Game Studios,1.54,0.8,2.62,454.0,Ensemble Studios,582,Winter
LEGO Star Wars: The Complete Saga,X360,2007.0,Action,LucasArts,1.53,0.81,2.57,114.0,Traveller's Tales,595,Fall
