Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,Global_Sales,User_Count,Developer,Original_Index,Release_Season
Madden NFL 08,PS2,2007.0,Sports,Electronic Arts,2.14,0.08,2.57,17.0,EA Tiburon,597,Summer
Sonic Adventure 2 Battle,GC,2001.0,Platform,Sega,1.7,0.59,2.56,179.0,Sonic Team,601,Summer
Dragon Warrior II,NES,1987.0,Role-Playing,Enix Corporation,0.15,0.0,2.56,,,602,Winter
Dragon Age: Origins,X360,2009.0,Role-Playing,Electronic Arts,1.76,0.55,2.56,725.0,BioWare,605,Fall
Marvel: Ultimate Alliance,X360,2006.0,Role-Playing,Activision,2.29,0.02,2.5,120.0,Raven Software,619,Fall
Final Fantasy V,SNES,1992.0,Role-Playing,SquareSoft,0.0,0.0,2.45,,,632,Winter
Riven: The Sequel to Myst,PC,1997.0,Adventure,Red Orb,1.52,0.82,2.43,,Cyan Worlds,637,Fall
LEGO Harry Potter: Years 1-4,Wii,2010.0,Action,Warner Bros. Interactive Entertainment,1.28,0.93,2.43,34.0,Traveller's Tales,638,Summer
Call of Duty: Infinite Warfare,XOne,2016.0,Shooter,Activision,1.46,0.74,2.42,290.0,Infinity Ward,640,Fall
Madden NFL 16,XOne,2015.0,Sports,Electronic Arts,2.08,0.08,2.42,124.0,EA Sports,641,Summer
Sonic Adventure,DC,1998.0,Platform,Sega,1.26,0.61,2.42,,,643,Winter
Tomb Raider (2013),PS3,2013.0,Action,Square Enix,0.6,1.26,2.42,,,646,Spring
Need for Speed Carbon: Own the City,PSP,2006.0,Racing,Electronic Arts,0.87,0.97,2.42,39.0,EA Canada,647,Fall
Need for Speed: ProStreet,PS2,2007.0,Racing,Electronic Arts,0.69,0.0,2.41,34.0,Black Box,652,Fall
Halo: Combat Evolved Anniversary,X360,2011.0,Shooter,Microsoft Game Studios,1.44,0.7,2.4,487.0,343 Industries,653,Fall
Half-Life 2,PC,2004.0,Shooter,Vivendi Games,2.28,0.02,2.37,8665.0,Valve Software,665,Fall
Madden NFL 08,X360,2007.0,Sports,Electronic Arts,2.18,0.01,2.37,108.0,EA Tiburon,667,Summer
Kinect: Disneyland Adventures,X360,2011.0,Misc,Microsoft Game Studios,1.73,0.43,2.35,67.0,Frontier Developments,675,Fall
Resident Evil - Code: Veronica X,PS2,2001.0,Action,Capcom,1.08,0.7,2.34,189.0,Capcom,679,Winter
Chrono Trigger,SNES,1995.0,Role-Playing,SquareSoft,0.28,0.0,2.31,,,687,Spring
LEGO Star Wars: The Complete Saga,PS3,2007.0,Action,LucasArts,1.02,0.9,2.29,87.0,Traveller's Tales,695,Fall
Pro Evolution Soccer 2010,PS3,2009.0,Sports,Konami Digital Entertainment,0.3,1.27,2.28,76.0,Konami,697,Fall
Mario Bros.,NES,1983.0,Platform,Nintendo,0.51,0.12,2.28,,,698,Winter
LEGO Harry Potter: Years 1-4,DS,2010.0,Action,Warner Bros. Interactive Entertainment,1.07,0.99,2.28,6.0,TT Fusion,700,Summer
The Sims 3,X360,2010.0,Simulation,Electronic Arts,1.27,0.81,2.28,71.0,The Sims Studio,701,Summer
Battlefield 1,XOne,2016.0,Shooter,Electronic Arts,1.28,0.77,2.25,440.0,EA DICE,709,Fall
New Super Luigi U,WiiU,2013.0,Platform,Nintendo,1.25,0.62,2.24,288.0,Nintendo,720,Summer
Assassin's Creed IV: Black Flag,XOne,2013.0,Action,Ubisoft,1.48,0.55,2.23,355.0,Ubisoft,721,Fall
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990.0,Action,Konami Digital Entertainment,1.74,0.25,2.23,,,725,Fall
Borderlands 2,PS3,2012.0,Shooter,Take-Two Interactive,1.05,0.72,2.23,858.0,Gearbox Software,727,Fall
Resident Evil 4,Wii,2007.0,Action,Capcom,1.32,0.56,2.22,,,732,Winter
Star Wars: The Force Unleashed,PS3,2008.0,Action,LucasArts,1.01,0.85,2.21,233.0,LucasArts,734,Fall
Forza Motorsport 5,XOne,2013.0,Racing,Microsoft Game Studios,1.21,0.79,2.2,1095.0,Turn 10,738,Fall
BioShock 2,X360,2010.0,Shooter,Take-Two Interactive,1.45,0.54,2.2,573.0,2K Marin,744,Winter
Donkey Kong Country,GB,2000.0,Platform,Nintendo,1.04,0.72,2.19,,,748,Fall
Pro Evolution Soccer 2012,PS3,2011.0,Action,Konami Digital Entertainment,0.34,0.96,2.19,132.0,Konami,750,Fall
Sonic Unleashed,Wii,2008.0,Platform,Sega,1.26,0.67,2.16,136.0,Sonic Team,762,Fall
SimCity 2000,PC,1992.0,Simulation,Maxis,1.2,0.84,2.14,,,769,Winter
R.C. Pro-Am,NES,1988.0,Racing,Nintendo,1.47,0.38,2.14,,,770,Winter
Demon Attack,2600,1981.0,Shooter,Imagic,1.99,0.12,2.13,,,773,Spring
Tony Hawk's Pro Skater,N64,2000.0,Sports,Activision,1.68,0.4,2.11,,,781,Fall
Devil May Cry 3: Dante's Awakening,PS2,2005.0,Action,Capcom,0.99,0.63,2.09,212.0,Capcom,793,Winter
Dying Light,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.96,0.67,2.09,1287.0,Techland,797,Winter
Final Fantasy III,DS,2006.0,Role-Playing,Square Enix,0.89,0.04,2.08,136.0,Matrix Software,802,Spring
Portal 2,X360,2011.0,Shooter,Valve Software,1.41,0.49,2.08,997.0,Valve Software,808,Spring
Tom Clancy's Splinter Cell: Conviction,X360,2010.0,Action,Ubisoft,1.2,0.62,2.06,,,824,Spring
SoulCalibur II,PS2,2003.0,Fighting,Namco Bandai Games,1.06,0.62,2.06,120.0,Namco,825,Summer
Need for Speed: ProStreet,X360,2007.0,Racing,Electronic Arts,1.04,0.79,2.05,78.0,EA Black Box,826,Fall
Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005.0,Action,Ubisoft,0.71,1.02,2.04,68.0,Ubisoft Montpellier,834,Fall
Need for Speed: ProStreet,PS3,2007.0,Racing,Electronic Arts,0.73,0.91,2.04,43.0,EA Black Box,835,Fall
Donkey Kong Country,GBA,2003.0,Platform,Nintendo,1.2,0.48,2.04,53.0,Rare Ltd.,836,Fall
Call of Duty 2,X360,2005.0,Shooter,Activision,1.82,0.04,2.03,307.0,Infinity Ward,842,Fall
Battlefield 4,XOne,2013.0,Shooter,Electronic Arts,1.25,0.58,2.02,480.0,EA DICE,847,Fall
Need for Speed Rivals,PS4,2013.0,Racing,Electronic Arts,0.73,0.92,1.98,667.0,Ghost Games,863,Fall
Devil May Cry 2,PS2,2003.0,Action,Capcom,0.71,0.58,1.97,167.0,Capcom,865,Winter
Tom Clancy's Rainbow Six: Vegas,X360,2006.0,Shooter,Ubisoft,1.09,0.65,1.95,225.0,Ubisoft Montreal,872,Fall
Resident Evil 6,X360,2012.0,Shooter,Capcom,1.12,0.6,1.95,1407.0,Capcom,874,Fall
Grand Theft Auto: San Andreas,XB,2005.0,Action,Take-Two Interactive,1.26,0.61,1.95,118.0,Rockstar North,875,Fall
Star Wars: Dark Forces,PC,1994.0,Shooter,LucasArts,1.09,0.77,1.95,,,876,Spring
The Sims 3,PS3,2010.0,Simulation,Electronic Arts,0.73,0.89,1.94,55.0,The Sims Studio,884,Summer
Mortal Kombat II,SNES,1993.0,Fighting,Acclaim Entertainment,1.48,0.39,1.93,,,892,Fall
Need for Speed: Shift,X360,2009.0,Racing,Electronic Arts,0.73,0.96,1.91,134.0,Slightly Mad Studios,905,Fall
Tomb Raider (2013),X360,2013.0,Action,Square Enix,0.86,0.84,1.89,,,910,Spring
Madden NFL 06,XB,2005.0,Sports,Electronic Arts,1.75,0.03,1.86,41.0,EA Sports,931,Summer
Turok 2: Seeds of Evil,N64,1997.0,Platform,Acclaim Entertainment,1.37,0.41,1.86,,,933,Winter
Star Wars: The Force Unleashed,Wii,2008.0,Action,LucasArts,1.11,0.56,1.86,75.0,Krome Studios,936,Fall
Just Cause 3,PS4,2015.0,Action,Square Enix,0.47,1.03,1.86,403.0,Avalanche Studios,938,Winter
Max Payne 3,PS3,2012.0,Shooter,Take-Two Interactive,0.59,0.89,1.85,790.0,Rockstar Studios,943,Spring
Secret of Mana,SNES,1993.0,Role-Playing,SquareSoft,0.25,0.07,1.83,,,953,Summer
The Orange Box,X360,2007.0,Shooter,Electronic Arts,1.09,0.53,1.82,797.0,Valve Software,964,Fall
Mafia III,PS4,2016.0,Action,Take-Two Interactive,0.42,1.08,1.81,1147.0,Hangar 13,968,Fall
Madden NFL 07,X360,2006.0,Sports,Electronic Arts,1.66,0.0,1.8,148.0,EA Tiburon,972,Summer
Madden NFL 17,PS4,2016.0,Sports,Electronic Arts,1.25,0.17,1.75,83.0,EA Sports,1007,Summer
Dragon's Dogma,PS3,2012.0,Role-Playing,Capcom,0.41,0.44,1.74,444.0,Capcom,1023,Spring
The Order: 1886,PS4,2015.0,Shooter,Sony Computer Entertainment,0.61,0.78,1.74,3172.0,"Ready at Dawn, SCE Santa Monica",1026,Winter
Madden NFL 2005,XB,2004.0,Sports,Electronic Arts,1.61,0.03,1.72,26.0,EA Tiburon,1038,Summer
Dishonored,X360,2012.0,Action,Bethesda Softworks,1.06,0.5,1.71,815.0,Arkane Studios,1041,Fall
The Beatles: Rock Band,Wii,2009.0,Misc,MTV Games,1.17,0.39,1.71,43.0,Harmonix Music Systems,1043,Fall
