Name,Steam_App_ID,Position
Grand Theft Auto: San Andreas,12120.0,10313
Zombie Army Trilogy,301640.0,10318
Terraria,105600.0,10578
The Walking Dead: Season Two,261030.0,10729
The Walking Dead: Season Two,261030.0,10732
Burnout Paradise: The Ultimate Box,24740.0,10875
X-COM: UFO Defense,7760.0,10893
Psychonauts,3830.0,10910
Football Manager 2017,482730.0,10965
Terraria,105600.0,11170
Red Faction: Armageddon,55110.0,11221
Counter-Strike: Source,240.0,11289
Titanfall 2,1237970.0,11452
Sniper: Ghost Warrior 2,34870.0,11497
Resident Evil 6,221040.0,11585
Metal Gear Solid V: The Phantom Pain,287700.0,11660
Torchlight,41500.0,11820
Dark Souls III,374320.0,11893
Burnout Paradise: The Ultimate Box,24740.0,11980
Resident Evil 5,21690.0,12201
Terraria,105600.0,12230
Alan Wake,108710.0,12277
Assetto Corsa,244210.0,12393
Call of Duty 2,2630.0,12531
S.T.A.L.K.E.R.: Call of Pripyat,41700.0,12574
Resident Evil 2,883710.0,12707
Street Fighter V,310950.0,12721
S.T.A.L.K.E.R.: Shadow of Chernobyl,4500.0,12744
Tropico 5,245620.0,12753
Rocket League,252950.0,12836
Mirror's Edge,17410.0,12847
Gothic 3,39500.0,12860
7 Days to Die,251570.0,12865
Hearts of Iron IV,394360.0,12893
F1 2015,286570.0,13011
Mortal Kombat X,307780.0,13049
The Bureau: XCOM Declassified,65930.0,13094
Payday 2,218620.0,13223
Far Cry,13520.0,13362
XCOM 2,268500.0,13415
Company of Heroes,228200.0,13432
Resident Evil 6,221040.0,13479
Mafia,40990.0,13520
Resident Evil 6,221040.0,13677
Stellaris,281990.0,13746
Terraria,105600.0,13789
Company of Heroes: Opposing Fronts,9340.0,13791
Grand Theft Auto: Vice City,12110.0,13877
APB Reloaded,113400.0,14014
Saints Row 2,9480.0,14061
S.T.A.L.K.E.R.: Clear Sky,20510.0,14122
Burnout Paradise: The Ultimate Box,24740.0,14175
Hitman: Blood Money,6860.0,14207
Prey,480490.0,14294
Deus Ex: Mankind Divided,337000.0,14342
The Binding of Isaac,113200.0,14380
DiRT Rally,310560.0,14403
Prison Architect,233450.0,14407
Terraria,105600.0,14574
Doom,379720.0,14613
Resident Evil 4,2050650.0,14659
World of Tanks,1407200.0,14688
The Talos Principle,257510.0,14711
Braid,26800.0,14717
Magicka,42910.0,14859
Bully: Scholarship Edition,12200.0,14907
Star Trek Online,9900.0,15173
Left 4 Dead,500.0,15294
Dungeon Defenders,65800.0,15325
Sniper Elite V2,63380.0,15380
Mount & Blade: Warband,48700.0,15576
Darksiders,50620.0,15652
Pillars of Eternity,291650.0,15677
This War of Mine,282070.0,15793
Just Cause,6880.0,15873
Quantum Break,474960.0,16028
Just Cause,6880.0,16053
Assetto Corsa,244210.0,16069
Grand Theft Auto III,12100.0,16194
Sherlock Holmes: The Devil's Daughter,350640.0,16284
Goat Simulator,265930.0,16397
Sherlock Holmes: The Devil's Daughter,350640.0,16504
Dungeons 2,262280.0,16531
Prison Architect,233450.0,16665
Metal Gear Solid V: Ground Zeroes,311340.0,16697
