Name,Steam_App_ID,Position,Release_Date,Release_Season,Platform,Genre,Publisher,NA_Sales,EU_Sales,Global_Sales,User_Count,Developer,steam_price_usd,metacritic_score,total_recommendations
The Evil Within,268050.0,977,2014-10-13,Fall,Wii,Shooter,Nintendo,0.89,0.74,1.79,491.0,Retro Studios,,,
Just Cause 2,8190.0,1009,2010-03-23,Spring,SNES,Platform,Capcom,0.94,0.34,1.75,,,,,
The Elder Scrolls Online,306130.0,1013,2014-04-04,Spring,PS3,Sports,Electronic Arts,0.35,1.06,1.75,47.0,EA Canada,,,
Hitman: Absolution,203140.0,1034,2012-11-19,Fall,PS2,Action,Take-Two Interactive,0.85,0.66,1.72,,,,,
Dishonored,205100.0,1042,2012-10-11,Fall,PS,Platform,Activision,0.99,0.64,1.71,,,,,
Portal 2,620.0,1053,2011-04-18,Spring,SNES,Puzzle,Banpresto,0.0,0.0,1.7,,,,,
No Man's Sky,275850.0,1057,2016-08-12,Summer,DS,Action,D3Publisher,0.68,0.82,1.7,,,,,
BioShock Infinite,8870.0,1061,2013-03-25,Spring,PS,Misc,Sony Computer Entertainment,0.94,0.64,1.69,,,,,
Resident Evil 4,2050650.0,1069,2023-03-23,Spring,DS,Puzzle,Nintendo,0.48,1.12,1.69,,Jupiter Corporation,,,
Saints Row 2,9480.0,1076,2009-01-28,Winter,GB,Puzzle,Nintendo,0.59,0.24,1.68,,,,,
Sid Meier's Civilization V,8930.0,1079,2010-09-23,Fall,3DS,Role-Playing,Nintendo,0.81,0.23,1.68,,,,,
Dark Souls III,374320.0,1108,2016-04-11,Spring,2600,Puzzle,Atari,1.54,0.1,1.65,,,,,
Far Cry 4,298110.0,1126,2014-11-18,Fall,XB,Sports,Sega,1.54,0.02,1.63,93.0,Visual Concepts,,,
Call of Duty: Black Ops,42700.0,1132,2010-11-09,Fall,PS,Platform,Sony Computer Entertainment,0.71,0.48,1.63,53.0,SCEI,,,
Max Payne 3,204100.0,1135,,,X360,Simulation,Microsoft Game Studios,0.45,0.95,1.62,131.0,Rare Ltd.,,,
LEGO Marvel Super Heroes,249130.0,1140,2013-11-15,Fall,PS,Racing,Electronic Arts,0.9,0.61,1.62,,,,,
Just Cause 2,8190.0,1156,2010-03-23,Spring,PS,Action,Konami Digital Entertainment,0.71,0.48,1.6,326.0,KCET,,,
Far Cry 2,19900.0,1162,2008-10-22,Fall,GC,Action,Nintendo,1.15,0.36,1.59,568.0,Nintendo,,,
Wolfenstein: The New Order,201810.0,1209,2014-05-19,Spring,X360,Action,Take-Two Interactive,0.85,0.55,1.55,458.0,2K Czech,,,
BioShock 2,8850.0,1212,2010-02-09,Winter,PS2,Role-Playing,Sony Computer Entertainment,0.83,0.44,1.54,99.0,Level 5,,,
Dishonored,205100.0,1225,2012-10-11,Fall,GC,Sports,Nintendo,1.09,0.15,1.53,56.0,Camelot Software Planning,9.99,91,61969
Call of Duty: Black Ops II,202970.0,1228,2012-11-12,Fall,Wii,Action,Capcom,0.67,0.43,1.52,122.0,Cavia Inc.,59.99,74,20782
Dead Space 2,47780.0,1244,2011-01-27,Winter,3DS,Role-Playing,GungHo,0.0,0.0,1.51,,,,,
Batman: Arkham Knight,208650.0,1275,2015-06-23,Summer,PS4,Shooter,Bethesda Softworks,0.54,0.69,1.49,,,,,
Homefront,55100.0,1313,2011-03-14,Spring,PS2,Action,Capcom,0.37,0.47,1.45,73.0,Capcom,,,
BioShock,7670.0,1348,2007-08-21,Summer,PS3,Role-Playing,Electronic Arts,0.63,0.56,1.42,1849.0,BioWare,,,
Dead Space 2,47780.0,1357,2011-01-27,Winter,Wii,Sports,Electronic Arts,0.8,0.47,1.42,34.0,EA Tiburon,,,
Metal Gear Rising: Revengeance,235460.0,1359,2014-01-09,Winter,GC,Action,Capcom,0.63,0.38,1.42,,,,,
The Sims 3,47890.0,1369,2009-06-02,Summer,PS,Fighting,Electronic Arts,1.02,0.34,1.41,,,,,
Far Cry 2,19900.0,1395,2008-10-22,Fall,3DS,Platform,Nintendo,0.48,0.53,1.38,155.0,Arzest,,,
Ryse: Son of Rome,302510.0,1401,2014-10-10,Fall,XOne,Fighting,Warner Bros. Interactive Entertainment,1.03,0.21,1.38,279.0,"Warner Bros. Interactive Entertainment, NetherRealm Studios",,,
Mortal Kombat X,307780.0,1402,2015-04-13,Spring,N64,Role-Playing,Nintendo,0.58,0.18,1.38,,,,,
